🇨🇳｜央视频道,#genre#
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV1,http://111.20.33.70/PLTV/88888893/224/3221226010/index.m3u8$超清1080P
CCTV1,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8$超清1080P
CCTV1,http://117.169.120.242:8080/wh7f454c46tw1490432856_1716888660/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8?icpid=88888888&RTS=1663085841&from=79102&ocs=2_117.169.120.136_8080&hms_devid=1403&online=1663085841&vqe=3$超清1080P
CCTV1,http://39.134.67.110/PLTV/88888888/224/3221225816/index.m3u8$超清1080P
CCTV1,http://222.175.159.226:808/hls/1/index.m3u8$超清1080P
CCTV1,http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV1,http://219.140.56.34:3333/tsfile/live/0001_1.m3u8$超清1080P
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P

CCTV2,http://39.134.32.103:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV2,http://39.134.32.108:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV2,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8$超清1080P
CCTV2,http://219.140.56.34:3333/tsfile/live/0002_1.m3u8$超清1080P
CCTV2,http://39.134.32.102:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8$超清1080P
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8$超清1080P
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8$超清1080P
CCTV2,http://222.175.159.226:808/hls/2/index.m3u8$超清1080P

CCTV3,http://39.134.32.102:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV3,http://111.20.33.70/PLTV/88888893/224/3221226397/index.m3u8$超清1080P
CCTV3,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8$超清1080P
CCTV3,http://39.134.67.110/PLTV/88888888/224/3221225799/index.m3u8$超清1080P
CCTV3,http://39.134.32.108:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV3,http://219.140.56.34:3333/tsfile/live/0003_1.m3u8$超清1080P
CCTV3,http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8$超清1080P

CCTV4,http://111.12.110.134:6610/PLTV/77777777/224/3221225761/index.m3u8?IASHttpSessionId=OTT3174120220914063719000314&blog.ntnas.top=$超清1080P
CCTV4,http://111.20.33.70/PLTV/88888893/224/3221226223/index.m3u8$超清1080P
CCTV4,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8$超清1080P
CCTV4,http://111.20.33.70/TVOD/88888893/224/3221226223/index.m3u8$超清1080P
CCTV4,http://111.20.33.70/TVOD/88888893/224/3221226223/index.m3u8$超清1080P
CCTV4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8$超清1080P
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8$超清1080P
CCTV4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8$超清1080P
CCTV4,http://39.135.138.59:18890/PLTV/88888888/224/3221225621/index.m3u8$超清1080P

CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8$超清1080P
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8$超清1080P  
CCTV4K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233400/1.m3u8$超清1080P 
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd$超清1080P


CCTV5,http://39.134.32.102:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV5,http://39.134.32.108:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV5,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8$超清1080P
CCTV5,http://111.20.33.70/PLTV/88888893/224/3221226395/index.m3u8$超清1080P
CCTV5,http://39.134.67.110/PLTV/88888888/224/3221225818/index.m3u8$超清1080P
CCTV5,http://222.175.159.226:808/hls/5/index.m3u8$超清1080P

CCTV5+,http://39.134.32.102:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV5+,http://39.134.32.103:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV5+,http://39.134.32.108:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV5+,http://222.175.159.226:808/hls/6/index.m3u8$超清1080P
CCTV5+,http://111.40.196.25/PLTV/88888888/224/3221225767/index.m3u8$超清1080P
CCTV5+,http://111.20.33.70/PLTV/88888893/224/3221226221/index.m3u8$超清1080P
CCTV5+,http://39.134.67.110/PLTV/88888888/224/3221225507/index.m3u8$超清1080P


CCTV6,http://39.134.32.102:6610/270000001111/1110000307/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV6,http://39.134.32.108:6610/270000001111/1110000307/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV6,http://111.20.33.93/TVOD/88888888/224/3221225779/index.m3u8$超清1080P
CCTV6,http://111.20.33.70/TVOD/88888893/224/3221226393/index.m3u8$超清1080P
CCTV6,http://111.20.33.70/PLTV/88888893/224/3221226393/index.m3u8$超清1080P

CCTV7,http://111.20.33.70/TVOD/88888893/224/3221226192/index.m3u8$超清1080P
CCTV7,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000510003.m3u8$超清1080P
CCTV7,http://111.20.33.70/PLTV/88888893/224/3221226248/index.m3u8$超清1080P
CCTV7,http://111.20.33.93/TVOD/88888888/224/3221225778/index.m3u8$超清1080P
CCTV7,http://222.175.159.226:808/hls/8/index.m3u8$超清1080P


CCTV8,http://39.134.32.102:6610/270000001111/1110000309/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV8,http://111.20.33.70/TVOD/88888893/224/3221226391/index.m3u8$超清1080P
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8$超清1080P
CCTV8,http://219.140.56.34:3333/tsfile/live/1008_1.m3u8超清1080P
CCTV8,http://111.40.196.25/PLTV/88888888/224/3221225565/index.m3u8$高清1080P
CCTV8K,http://117.148.129.93:80/PLTV/88888888/224/3221233350/1.m3u8 $超清1080P
CCTV9,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8$超清1080P
CCTV9,http://111.20.33.70/TVOD/88888893/224/3221226197/index.m3u8$超清1080P
CCTV9,http://111.20.33.93/TVOD/88888893/224/3221226197/index.m3u8$超清1080P
CCTV9,http://111.20.33.93/TVOD/88888888/224/3221225758/index.m3u8$超清1080P
CCTV9,http://222.175.159.226:808/hls/10/index.m3u8$超清1080P
CCTV9,http://39.134.67.110/PLTV/88888888/224/3221225676/index.m3u8$超清1080P
CCTV9,http://219.140.56.34:3333/tsfile/live/1009_1.m3u8$超清1080P
CCTV9,http://111.40.196.34/PLTV/88888888/224/3221225502/index.m3u8$高清1080P

CCTV10,http://111.20.33.70/PLTV/88888893/224/3221226189/index.m3u8$超清1080P
CCTV10,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8$超清1080P
CCTV10,http://219.140.56.34:3333/tsfile/live/0010_1.m3u8$超清1080P
CCTV10,http://111.20.33.93/TVOD/88888888/224/3221225777/index.m3u8$超清1080P
CCTV10,http://222.175.159.226:808/hls/11/index.m3u8$超清1080P
CCTV10,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203503.m3u8$超清1080P
CCTV10,http://39.134.67.110/PLTV/88888888/224/3221225677/index.m3u8$超清1080P

CCTV11,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8$超清1080P
CCTV11,http://39.134.67.110/PLTV/88888888/224/3221225517/index.m3u8$超清1080P
CCTV11,http://222.175.159.226:808/hls/12/index.m3u8$超清1080P
CCTV11,http://111.20.33.70/PLTV/88888893/224/3221226240/index.m3u8超清1080P
CCTV11,http://111.20.33.93/TVOD/88888888/224/3221225776/index.m3u8超清1080P

CCTV12,http://111.20.33.70/PLTV/88888893/224/3221226190/index.m3u8$超清1080P
CCTV12,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8$超清1080P
